id,admissions,entry_gender,perc_free_meals,perc_girls,perc_sec_lang,avg_score
229,comprehensive,mixed,32.8,47.5,61.1,59
230,comprehensive,mixed,14.1,40.4,26.5,56.2
231,comprehensive,mixed,21.2,35.6,65.2,48.7
232,comprehensive,mixed,27.7,36.3,50.7,48.6
233,comprehensive,mixed,44.4,46.5,72.1,60.2
234,comprehensive,girls,10.4,97,19.3,63.3
235,comprehensive,mixed,41.3,48.9,89.2,55.4
236,comprehensive,mixed,40.3,49.4,52.3,53.4
237,comprehensive,mixed,38.7,45,83.3,49.8
238,comprehensive,mixed,31.1,48.7,83.5,55
239,comprehensive,mixed,19.1,40.1,42.7,48.8
240,comprehensive,girls,14.7,92.6,46.2,63.6
241,comprehensive,mixed,33.3,45.9,83.8,54.5
242,comprehensive,boys,25.4,3,53.5,49.4
243,comprehensive,mixed,11.9,45.2,39.7,54.2
244,comprehensive,mixed,11.8,49.8,38.9,53.4
245,comprehensive,mixed,22.3,50.7,50.9,48.7
246,comprehensive,mixed,27.5,50.4,45.8,44.3
247,comprehensive,mixed,21.2,50.2,70.7,49.3
248,comprehensive,mixed,19.4,12.2,18.7,36.4
249,comprehensive,mixed,21.5,50.3,16.7,51.5
250,comprehensive,mixed,20.2,49.4,35.7,51.7
251,comprehensive,mixed,19,48.2,30.4,53.1
252,comprehensive,mixed,25.9,48.1,47.8,46.8
253,comprehensive,mixed,6,53.4,34.3,60.8
254,comprehensive,mixed,21.6,49.4,59.7,53.7
255,comprehensive,boys,14,5.2,62,54.3
256,comprehensive,mixed,17.7,50.7,47.7,58.1
257,comprehensive,girls,13.9,100,68.4,48.1
258,comprehensive,mixed,8,41.2,45.6,54.3
259,comprehensive,boys,7.7,6.8,11.3,57.2
260,comprehensive,mixed,24.8,47.5,37.4,45.7
261,comprehensive,mixed,3.9,46.5,6.1,61.1
262,comprehensive,mixed,24.5,45.6,55.5,51.3
263,selective,girls,1.4,100,36.4,78.5
264,comprehensive,mixed,4.1,46.6,11.4,57.1
265,comprehensive,mixed,28.3,39,50.3,49.4
266,comprehensive,mixed,10.6,48.6,30.8,56.8
267,comprehensive,girls,14.3,100,30.5,57.5
268,selective,boys,1.1,0,43.2,76.8
269,comprehensive,mixed,12.6,49,33.8,58.7
270,comprehensive,mixed,38.9,42.3,67.9,43.4
271,selective,girls,1.9,92.7,36.9,74.7
272,comprehensive,mixed,21.2,32,49.3,43.6
273,comprehensive,mixed,41.7,44.7,72,41.3
274,comprehensive,mixed,12.8,49,10.8,61.7
275,selective,boys,2.1,10.6,9.3,66.6
276,selective,mixed,2.9,44.6,20.2,69.8
277,comprehensive,mixed,17.9,47.2,12.1,42.6
278,comprehensive,girls,6.8,90.4,11.1,50.6
279,comprehensive,mixed,17.7,49.1,33.6,38.7
280,selective,mixed,2.9,47.3,4.9,67.2
281,comprehensive,mixed,17.6,42.2,7.3,46.9
282,comprehensive,mixed,18.8,44.6,14.3,45.2
283,comprehensive,mixed,14.5,46.6,10.8,50.2
284,comprehensive,mixed,8.4,47.2,7.4,52.7
285,comprehensive,boys,3.4,0,3.4,50
286,comprehensive,girls,7.9,100,17.4,56.6
287,comprehensive,boys,9.7,0,17.7,48.5
288,selective,girls,3.7,95.4,14.4,69.4
289,comprehensive,mixed,11.2,46,19.6,52.7
